id,x,y,radius,brightness
1,125,4031,1,77.5
2,2658,4030,1,80.11111111111111
3,2511,4030,2,115.76190476190476
4,159,4017,6,114.1268656716418
5,1389,3988,1,112.82014388489209
6,387,3963,2,109.875
7,1590,3957,2,106.66666666666667
8,1532,3953,2,104.37078651685393
9,822,3956,7,106.37308868501529
10,2666,3933,3,104.9438202247191
11,1695,3928,5,101.21281464530892
12,1585,3924,3,98.93776824034335
13,924,3921,3,97.38181818181818
14,2265,3905,13,111.201171875
15,1750,3893,1,111.0466472303207
16,854,3893,1,110.90715667311412
17,1171,3891,6,110.47253705318221
18,824,3891,6,108.62539682539682
19,2323,3883,5,107.50633855331841
20,594,3861,3,106.81021897810218
21,2859,3855,5,105.1157822191592
22,246,3849,5,103.79569190600522
23,910,3838,5,103.71357718536888
24,1804,3801,2,103.54981549815498
25,1897,3799,5,103.00351493848858
26,353,3793,6,104.38406593406593
27,1923,3784,11,105.4574419663177
28,1374,3780,15,107.90915347556779
29,1294,3758,3,107.83679727427598
30,668,3754,2,107.74559023066486
31,1946,3741,3,107.3587504198858
32,2945,3756,19,117.01680467608378
33,508,3738,3,116.86408706166868
34,2433,3736,5,116.4938330170778
35,1229,3726,3,116.1206124852768
36,98,3724,4,115.67047042384723
37,2974,3726,8,115.8648407926965
38,2409,3700,4,115.37400881057269
39,2658,3690,3,115.0980520901729
40,316,3682,2,115.00742034046269
41,1405,3682,7,115.4440921581061
42,1134,3669,4,115.20334728033473
43,1604,3661,6,114.72756999795627
44,1243,3655,3,114.61865095489638
45,168,3649,2,114.54447821681865
46,1844,3624,5,114.13377192982456
47,1186,3614,5,113.53403963115558
48,671,3609,4,113.22483482316362
49,2016,3571,5,112.75530897264206
50,254,3560,4,113.025966641395
51,2290,3557,4,112.8456338028169
52,904,3542,5,112.34942656307805
53,1895,3533,5,112.64698377984327
54,465,3507,3,112.56889050036258
55,602,3500,2,112.48851510218846
56,573,3496,9,112.27585610515392
57,1774,3485,1,112.24727838258165
58,2821,3486,8,112.8624665775401
59,1049,3470,8,112.840155314674
60,1358,3466,5,112.26237623762377
61,487,3459,3,112.06676204101097
62,2979,3457,3,111.99050632911393
63,579,3456,5,111.82565224183722
64,2683,3451,3,111.66609642301711
65,318,3447,4,111.55471523383238
66,2484,3421,3,111.44852489244008
67,2146,3412,4,111.37334146713437
68,2110,3413,5,111.29858391081652
69,1023,3413,6,111.39727447785513
70,2793,3416,12,112.75361512791991
71,422,3398,3,112.57332779393435
72,2469,3391,2,112.51133536079624
73,952,3367,0,112.5071181755356
74,553,3371,4,112.49395936298737
75,1009,3366,3,112.38123888964857
76,1411,3365,5,112.2017852312686
77,2724,3360,4,111.96453043127771
78,1099,3352,3,111.83632226980728
79,438,3348,5,111.69177810141666
80,2405,3353,17,112.7144546960019
81,75,3329,2,112.65950159442542
82,147,3313,3,112.54578625235405
83,2003,3304,1,112.52499705916951
84,818,3320,17,113.22037864284195
85,2213,3311,9,113.29456240290006
86,2510,3293,2,113.26323955316508
87,823,3295,7,113.28277477844556
88,1106,3291,9,113.21330685203576
89,1882,3283,4,113.13301709655104
90,1665,3278,5,112.83441176470588
91,2241,3273,2,112.7942817977088
92,2946,3253,1,112.77901742023879
93,535,3230,10,112.60550545799715
94,2406,3220,2,112.56892301858173
95,1333,3218,4,112.36991601396622
96,300,3218,9,112.76064516129033
97,2849,3203,2,112.7256743072816
98,1530,3184,2,112.68260389849209
99,567,3188,7,112.5502947845805
100,1865,3182,5,112.39636232667027
101,1607,3181,4,112.32864186463469
102,2797,3151,2,112.28483166189112
103,1387,3111,2,112.26482425543333
104,2390,3105,2,112.24012864034304
105,1775,3111,11,112.3727422003284
106,2549,3084,7,112.41988054607509
107,1254,3065,3,112.37654268448378
108,744,3051,17,112.94102766798419
109,2346,3035,2,112.90649924978283
110,1957,3022,2,112.88387503944462
111,2047,3007,9,113.30566942532292
112,1640,2996,2,113.26827383711945
113,1804,2995,3,113.2164829234446
114,2262,2990,3,113.13907692307693
115,1802,2978,9,112.88976080887346
116,561,2972,5,112.69919004049798
117,115,2955,9,112.83859571649371
118,2707,2947,3,112.78025851938895
119,1557,2946,3,112.70164895566141
120,1783,2935,9,112.75989350985753
121,106,2922,4,112.71183767118377
122,686,2878,9,112.9419014084507
123,2154,2866,6,112.94732061762035
124,1892,2862,5,112.96248436848687
125,366,2857,4,112.97043550508897
126,502,2851,3,112.88266998341625
127,978,2826,6,112.81576962632842
128,1823,2777,3,112.75790338032024
129,2065,2764,2,112.73521569699871
130,1210,2775,13,112.69510424914225
131,743,2759,2,112.66431538005142
132,606,2755,7,112.74304739522131
133,50,2748,2,112.71723957993608
134,1014,2741,2,112.68802137643378
135,2950,2712,3,112.63195212385351
136,1031,2644,3,112.53661862095832
137,1696,2644,5,112.37286055673965
138,364,2640,4,112.2972572753026
139,1194,2641,9,112.16464998416218
140,583,2619,3,112.14582015935247
141,2718,2615,4,111.9991174431066
142,1476,2613,2,111.96674225245654
143,1341,2613,3,111.94825526563973
144,2943,2603,7,111.86358539927744
145,121,2577,3,111.79891811229248
146,553,2547,4,111.7781428217208
147,1662,2543,5,111.66866095108863
148,895,2542,5,111.56603657788143
149,1188,2539,5,111.37795419847328
150,1596,2531,2,111.3456797656822
151,2884,2530,3,111.33197295486386
152,177,2527,2,111.315398660986
153,2599,2532,9,111.0896721213211
154,2587,2519,5,110.95215938916726
155,1897,2531,17,111.0412680441551
156,465,2508,4,110.98724172970532
157,2492,2501,2,110.96254301348226
158,1769,2491,3,110.94458211308853
159,323,2493,6,110.94834629805808
160,1533,2475,3,110.89557492457257
161,209,2471,2,110.8848752163475
162,838,2471,3,110.88010033444816
163,2279,2460,4,110.81766635165934
164,2399,2459,5,110.74936358605423
165,1648,2463,9,110.60705124706652
166,2401,2445,4,110.57173960374483
167,2755,2443,5,110.46805397496342
168,1727,2432,5,110.40217977770584
169,1838,2426,3,110.34811183537144
170,446,2401,2,110.33101851851852
171,2249,2395,3,110.26584251545283
172,1185,2392,2,110.24492426683854
173,2767,2387,0,110.24351468929588
174,1827,2387,4,110.15673880437112
175,1613,2377,5,110.07131046989173
176,2441,2372,4,110.03941908713693
177,15,2368,6,110.0469039183544
178,1402,2351,6,109.89097981497056
179,2566,2345,3,109.86768487902168
180,684,2342,3,109.83890577507599
181,1014,2339,3,109.79540578724296
182,798,2329,3,109.80266457680251
183,377,2320,4,109.72380009380375
184,1903,2320,8,109.74455792840195
185,1061,2292,1,109.73626940333145
186,1728,2263,3,109.67466529351185
187,2756,2256,3,109.62527636382333
188,1820,2250,2,109.60826225465009
189,404,2247,3,109.5677492175876
