id,x,y,radius,brightness
1,1395,4025,2,77.3076923076923
2,1666,4007,5,73.44680851063829
3,1152,4016,16,107.5247191011236
4,1155,3992,6,107.59122632103688
5,873,3985,6,107.93996415770609
6,2273,3965,5,106.56140350877193
7,1400,3968,8,106.24175035868005
8,2305,3958,4,105.2993762993763
9,907,3950,9,105.13443396226415
10,704,3949,9,105.43971267316573
11,266,3926,7,104.91706387035272
12,2599,3912,2,104.79772619611559
13,2897,3912,7,106.5858407079646
14,2775,3906,2,106.36867575890894
15,934,3909,6,105.69237217099749
16,1884,3899,3,105.62194616977226
17,72,3884,5,104.7451923076923
18,1594,3880,2,104.62096452770028
19,2073,3876,3,104.5130023640662
20,2528,3862,15,107.04126886356637
21,2869,3852,12,107.49918655097613
22,296,3831,7,107.504039614282
23,1831,3816,4,107.06922285126093
24,2807,3814,4,106.47090216010166
25,2055,3786,4,106.37173694779116
26,1640,3776,2,106.26419814861146
27,328,3767,3,106.09587680079483
28,1084,3774,17,107.17333062715649
29,370,3755,5,107.03434504792332
30,1523,3747,2,106.98406691894046
31,1975,3732,9,107.86784224497535
32,926,3712,4,107.61168513995867
33,544,3713,8,107.88605072463768
34,535,3684,4,107.67857784162327
35,2507,3637,1,107.65339074273412
36,50,3633,3,107.41174370872747
37,2129,3626,0,107.40738758029978
38,1997,3623,3,107.23628617077934
39,34,3624,4,107.04611052446322
40,757,3618,4,106.9410225091607
41,1032,3620,8,107.35104588394061
42,372,3608,4,107.21432156600301
43,43,3604,2,107.15025041736227
44,208,3605,4,106.98609041231992
45,1994,3607,7,106.92840982546865
46,2206,3600,9,107.17947523676447
47,2644,3590,5,107.54308494326894
48,1977,3570,8,107.58520613186487
49,2392,3553,2,107.51307189542484
50,1282,3553,5,107.34757082049023
51,310,3526,9,107.42853099348996
52,962,3514,7,107.18503118503118
53,345,3501,2,107.1300498063088
54,2069,3489,5,106.97167875222328
55,1480,3487,12,106.84193548387097
56,421,3466,2,106.78887028210744
57,2295,3455,6,106.58075165058405
58,2776,3436,2,106.53314742045886
59,432,3447,17,108.0004550625711
60,2007,3420,2,107.96557991593775
61,755,3420,3,107.88428442028986
62,100,3393,4,107.66681679990992
63,940,3391,3,107.57250280583614
64,582,3382,6,107.704643688352
65,547,3372,2,107.64962372731297
66,1464,3366,8,107.58821618108956
67,2272,3336,3,107.57007125890736
68,1589,3327,3,107.46130664083522
69,914,3327,4,107.33115631691649
70,594,3324,1,107.3151417870519
71,1894,3315,5,106.96530872056016
72,1206,3302,5,106.67844745976649
73,838,3297,3,106.62049077181209
74,717,3289,5,106.68992409275242
75,347,3282,4,106.56279743430582
76,621,3274,1,106.5480301933616
77,1456,3274,3,106.51958762886598
78,117,3260,4,106.35562621807365
79,272,3258,4,106.26137987344356
80,1156,3241,4,106.07941505026912
81,1862,3228,5,105.77780016116036
82,455,3185,5,105.81926266360276
83,1751,3181,2,105.7706046697266
84,129,3181,3,105.70182071435678
85,2976,3174,2,105.6616653418124
86,2751,3181,9,105.82494911311427
87,2064,3186,16,106.32814468238259
88,1953,3167,2,106.31526916509391
89,1848,3156,7,106.41060659808443
90,1024,3135,3,106.3187969924812
91,762,3132,3,106.2227810128816
92,45,3132,4,106.17376789949925
93,2772,3129,2,106.13504738504739
94,1916,3118,4,106.08387942332897
95,1120,3116,3,106.02204985183894
96,1303,3110,2,105.98894402367894
97,2010,3100,2,105.95060869565218
98,264,3095,5,105.73931439426647
99,1636,3084,4,105.65967325881341
100,1817,3082,5,105.4096148919819
101,2965,3075,5,105.44793080054274
102,2666,3077,7,105.39896156100829
103,2656,3067,3,105.38078529657477
104,2000,3065,3,105.30402533544462
105,785,3064,2,105.27164502164503
106,371,3064,2,105.2408316008316
107,2389,3065,4,105.09831041908232
108,251,3063,5,104.93484162895928
109,609,3053,5,104.78081072245833
110,2493,3044,5,104.59600552082487
111,2493,3032,3,104.55864247529564
112,2911,3021,4,104.4192819685357
113,752,2993,2,104.39982269503547
114,2063,2994,7,104.49295213824958
115,908,2977,7,104.22044703289784
116,2797,2967,4,104.17608780870248
117,545,2962,1,104.16739811912225
118,147,2959,5,104.2331594112608
119,1357,2938,4,104.22862684251358
120,653,2939,5,104.15357335594788
121,1823,2955,22,104.65847598012148
122,926,2919,3,104.62285596197562
123,1002,2916,4,104.62899903885761
124,169,2917,5,104.51949204615279
125,2631,2912,3,104.46954210956665
126,1535,2894,3,104.3822509350561
127,1471,2885,3,104.3365684810642
128,1396,2872,5,104.30610867364157
129,217,2855,5,104.31834049409237
130,401,2850,7,104.35393818544367
131,1337,2841,4,104.31853716708626
132,1204,2839,6,104.38015387650424
133,2570,2837,8,104.43365359646845
134,2329,2831,2,104.41493156904716
135,2169,2823,4,104.3047976205871
136,1211,2823,11,104.30814870920912
137,2530,2804,6,104.3358611180747
138,2791,2796,2,104.31329450810946
139,1227,2781,6,104.27844795423455
140,506,2776,2,104.25392979186083
141,2016,2778,6,104.12919545903257
142,436,2767,7,104.04218377453078
143,2915,2749,2,104.01808185705559
144,617,2754,8,104.13134544576567
145,1483,2729,4,104.03003129513722
146,1172,2711,3,104.00967257434665
147,818,2705,2,103.98547244567175
148,2239,2700,4,103.88166636739092
149,1739,2702,8,104.04525556081401
150,1575,2674,4,103.96254350262491
151,1477,2673,3,103.91096455070074
152,424,2663,2,103.88614298323036
153,199,2656,6,103.80208089782558
154,2388,2611,4,103.73620096753511
155,2517,2605,3,103.67380425928081
156,1743,2615,17,103.91850500359374
157,673,2600,3,103.8703908147494
158,1815,2593,4,103.78298926507019
159,2366,2573,7,103.86387463142951
160,2352,2546,3,103.8601646404623
161,347,2536,5,103.78924229266174
162,54,2522,4,103.70188924376116
163,490,2503,5,103.61038051094104
164,2163,2499,4,103.5521690049992
165,2375,2500,6,103.51554819405855
166,835,2488,7,103.42146832759077
167,2583,2476,3,103.37699798877951
168,118,2469,2,103.35304384619454
169,2623,2440,3,103.33808618504436
170,1598,2436,2,103.32703572747903
171,1612,2422,5,103.24214398318445
172,1136,2420,5,103.21118727434462
173,320,2404,3,103.20543364681296
174,2112,2394,2,103.18889991124107
175,2431,2395,5,103.05193927420193
176,2069,2390,5,102.9219777375097
177,1127,2391,10,103.13916055419723
178,2473,2364,4,103.02845383872771
179,1406,2357,2,103.00827663247689
180,36,2349,3,102.95933681488617
181,2009,2339,1,102.95311232765613
182,1232,2340,4,102.93886838246448
183,35,2324,3,102.89689992931434
184,1659,2315,5,102.71896213606878
185,1612,2309,5,102.59690504807692
186,26,2304,2,102.57829938441519
187,1702,2306,5,102.42612900009969
188,352,2291,7,102.53223492157736
189,50,2285,4,102.50054294175716
190,139,2278,2,102.4831549351354
191,2689,2269,1,102.47613176841898
192,1803,2255,3,102.41552174127148
193,2526,2253,5,102.41647047282716
194,709,2239,2,102.40061761678349
195,1433,2223,2,102.38199275007348
196,1629,2221,13,102.7396743541995
197,1174,2210,2,102.7165966787555
198,48,2209,3,102.71136526090065
199,1030,2200,3,102.67440753783193
200,1300,2199,4,102.60698855813511
201,2112,2198,5,102.5468690881574
202,1856,2191,2,102.5291392919601
203,1620,2184,1,102.52315471127493
204,540,2179,5,102.4227274867015
205,824,2158,3,102.39060737119217
206,2857,2153,9,102.45319396051103
207,2405,2155,16,102.98131887823672
208,1144,2142,3,102.93794461097937
209,1840,2118,6,103.01077279202279
210,591,2108,1,103.00569673772753
211,769,2106,3,102.99626633478532
212,1766,2100,3,102.97229990677853
213,1026,2096,6,102.91409010600707
214,1751,2077,2,102.89961594490796
215,1262,2077,3,102.86914734150427
216,2859,2064,2,102.86018946904605
217,2279,2079,25,100.21102368591824
218,798,2059,5,100.1959817277762
219,2854,2052,7,100.1757212890782
220,1040,2049,4,100.12584720272709
221,715,2035,3,100.10322864925493
222,2421,2033,4,100.04709551033463
223,778,2029,4,100.00123693240764
224,268,2025,3,100.01697819935436
225,609,2018,2,100.00585564053537
226,2262,2040,28,99.29488586479368
227,2709,2010,7,99.24296889212297
228,2340,2003,3,99.22374064112816
229,1076,2003,3,99.19765457648042
230,1595,2000,3,99.18116204845495
231,499,2001,5,99.12812353090081
232,1357,1994,4,99.09540827377084
233,1387,1987,4,99.1782278116104
234,2584,1980,2,99.16838351822504
235,2246,2003,25,97.29459734964323
236,1919,1971,4,97.3282675803114
237,976,1961,3,97.31547376982513
238,2232,1894,9,97.39944894324788
239,565,1884,3,97.37475662974153
240,1112,1879,8,97.41584686697568
241,1602,1864,4,97.42182714076442
242,256,1848,3,97.40169632462997
243,820,1844,7,97.51069040841993
244,1686,1851,16,98.05311018670794
245,854,1826,4,98.01613007083066
246,2159,1786,3,97.99256971919328
247,1286,1791,17,98.48802750859643
248,203,1763,3,98.47097036134795
249,1063,1763,7,98.43387838846058
250,1516,1747,2,98.42245424318698
251,2810,1741,6,98.45030036539295
252,316,1733,5,98.36330501930502
253,1116,1715,3,98.33909393901988
254,1594,1702,4,98.3096169845623
255,1055,1697,4,98.28838225339979
256,2802,1695,4,98.25381708703266
257,53,1683,2,98.24339761700037
258,2292,1686,6,98.23261009272576
259,157,1676,7,98.27938219703893
260,883,1666,3,98.2565819509968
261,1532,1664,4,98.22620350109409
262,2526,1611,2,98.21821551174165
263,2531,1603,5,98.18628401721317
264,2202,1599,4,98.16467455442249
265,2310,1599,8,98.29193237877512
266,2907,1591,1,98.28906132515263
267,954,1588,1,98.28480784266554
268,693,1590,9,98.4565314710359
269,276,1568,6,98.43884592504462
270,752,1563,7,98.46732210015102
271,1315,1552,4,98.4586314980188
272,787,1546,7,98.62728530632673
273,1736,1530,2,98.61883460859329
274,566,1527,4,98.6451262158747
275,783,1519,6,98.62014527561361
276,945,1514,2,98.61475625823452
277,412,1501,3,98.62813011935408
278,2071,1493,6,98.7072338688515
279,1856,1492,11,98.86693199515487
280,30,1459,1,98.86400991954785
281,1434,1468,16,99.2570188296313
282,637,1452,3,99.24131812420787
283,257,1452,6,99.2150598012241
284,715,1446,2,99.2072072072072
285,1390,1386,5,99.13412858422939
286,86,1373,5,99.09672282289833
287,1346,1361,4,99.06704424976284
288,1860,1354,4,99.01524058956284
289,895,1349,1,99.01250835747716
290,1167,1330,2,99.00543039349466
291,934,1306,11,99.26894670120707
292,2476,1299,5,99.29837490032172
293,771,1293,5,99.23672080772607
294,2694,1292,8,99.31960704052395
295,1455,1289,6,99.27493334784265
296,1317,1285,6,99.23820889045591
297,697,1277,4,99.22573131094258
298,676,1276,5,99.18918407610605
299,1916,1271,3,99.18320280853362
300,2873,1265,2,99.17344707502092
301,3022,1252,4,99.18360797216754
302,844,1254,8,99.19626569374397
303,2729,1242,7,99.17437541750166
304,2791,1236,6,99.13591560551974
305,1694,1233,3,99.12561556685388
306,2749,1236,7,99.09767737830099
307,477,1232,3,99.07746721420055
308,2943,1226,7,99.07241251913231
309,2852,1224,5,99.02762343647136
310,2587,1219,3,99.00036838227555
311,708,1220,7,99.06964065735329
312,2973,1201,4,99.0254698706874
313,1963,1194,4,99.02951556822043
314,1554,1184,1,99.02687160184023
315,2312,1181,4,99.00524735674193
316,2863,1175,4,99.01095061792772
317,1327,1177,7,99.01706360543335
318,1508,1156,0,99.01662164969873
319,2765,1155,6,98.97962037444648
320,2631,1145,3,98.97929928065
321,2786,1136,4,98.96782530042641
322,2714,1126,3,98.95968908170643
323,2768,1110,7,99.00704859413989
324,2729,1101,4,99.00267201068804
325,1422,1102,5,98.94259415942363
326,1092,1107,11,99.08075165058405
327,891,1098,5,99.07432655026481
328,2853,1084,2,99.06855145158839
329,2752,1074,2,99.06435029250133
330,2310,1067,2,99.05873417721519
331,1946,1069,4,99.02068320311513
332,793,1061,3,99.02986507655768
333,2807,1059,3,99.00765016285
334,2990,1050,5,98.94111570247934
335,556,1034,3,98.92426416899565
