id,x,y,radius,brightness
1,1393,3734,4,144.87755102040816
2,1302,3541,5,178.2
3,1910,3363,3,176.9182389937107
4,321,3279,4,184.60096153846155
5,2840,3231,5,195.04498269896195
6,2438,3032,3,191.23270440251574
7,2438,3020,4,197.31607629427793
8,1528,2872,2,195.56315789473683
9,2309,2779,5,199.74837310195227
10,1422,2584,2,199.29113924050634
11,2139,2507,3,201.0417495029821
12,1289,2392,0,200.96428571428572
13,2225,2275,4,203.1356238698011
14,1651,2219,0,203.0667870036101
15,1657,2217,4,205.469320066335
16,2485,2051,2,204.87824675324674
17,967,2023,1,204.53140096618358
18,1869,2024,4,205.73731343283583
19,1182,1903,3,205.1530758226037
20,1727,1841,1,204.69602272727272
21,1404,1789,3,204.00545702592086
22,2431,1657,3,204.25590551181102
23,865,1627,4,202.23427866831074
24,1499,1377,3,202.89166666666668
25,2123,1213,3,202.47180667433832
26,2220,1185,3,202.60801781737194
27,2809,1100,2,202.10647639956093
28,1326,1044,3,202.81489361702128
29,1385,1016,2,202.9884575026233
30,422,840,1,202.7212943632568
31,1486,700,3,200.79128672745694
32,1908,380,4,200.0550193050193
33,3001,165,3,199.87887323943661
34,2592,100,1,199.6981308411215
